SALARY;G_PH;G_PR;BBr;HITR;B1R;HRr;SFR;ROEr;RBIR;D_BPF;D_MLVr
1875000;5;0;0,1386;0,19554;0,09901;0,0396;0,01238;0;0,15842;102,65;0,035
420100;6;0;0,0799;0,23979;0,17584;0,0249;0,01421;0,0089;0,15986;100,311;0,011
406000;1;5;0,0673;0,25452;0,19212;0,0148;0,00493;0,0099;0,07718;102,154;-0,029
400000;1;0;0,064;0,20349;0,10465;0,0407;0,01163;0,0058;0,14535;98,0727;-0,067
1111666;1;2;0,0354;0,27308;0,18468;0,0413;0,00786;0,0216;0,15128;102,221;0,061
14500000;2;0;0,1489;0,26015;0,14135;0,0436;0,00752;0,0015;0,1594;99,2686;0,388
9250000;1;0;0,1108;0,22801;0,18241;0,0033;0,01629;0,0065;0,07166;102,111;-0,088
1200000;69;0;0,1345;0,18487;0,09244;0,0336;0,0084;0,0168;0,14286;102,529;-0,092
11625000;0;0;0,0985;0,22912;0,1349;0,0236;0,00642;0,0086;0,10707;99,7216;0,048
6750000;3;0;0,1175;0,23333;0,15556;0,0238;0,00794;0,0095;0,10952;99,8135;0,052
2000000;1;6;0,0894;0,22905;0,17318;0;0,00559;0,0056;0,05028;102,247;-0,035
4500000;1;0;0,0528;0,275;0,2;0,0083;0,00556;0,0167;0,06667;101,448;0,013
2850000;7;1;0,0639;0,24009;0,20925;0,0022;0,00441;0,0088;0,05286;98,4729;-0,162
1800000;19;4;0,0571;0,24161;0,19799;0,0034;0,00671;0,0067;0,04027;98,0178;-0,149
12500000;1;0;0,0812;0,24573;0,15171;0,0363;0,01282;0,0107;0,15598;101,921;0,063
14250000;3;0;0,1581;0,20775;0,10078;0,0512;0,0093;0,0016;0,13333;99,996;0,166
2000000;9;0;0,0485;0,19417;0,15534;0,0097;0,00485;0,0194;0,04854;99,9689;-0,402
8000000;31;1;0,0542;0,26108;0,22906;0,0025;0,00246;0,0099;0,06897;98,018;-0,107
5375000;1;1;0,0622;0,25104;0,1888;0,0166;0,01037;0,0166;0,11826;99,1857;-0,035
7826914;6;0;0,0649;0,25614;0,1614;0,0404;0,01053;0,0088;0,18246;101,363;0,115
18622809;2;0;0,1303;0,24363;0,14164;0,0382;0,0085;0,0071;0,15864;98,1697;0,214
500000;12;0;0,0515;0,26471;0,19118;0,0147;0,00735;0,0147;0,08824;98,1397;-0,001
15768174;2;0;0,0851;0,28571;0,19743;0,0337;0,00963;0;0,16533;101,504;0,211
1275000;9;0;0,0702;0,22222;0,11404;0,0731;0,00585;0,0175;0,16374;100,946;0,043
700000;21;2;0,0787;0,27247;0,17978;0,0393;0;0,0056;0,12079;95,268;0,201
1400000;13;2;0,0616;0,22374;0,15753;0,0297;0,00913;0,0114;0,1347;98,2552;-0,108
430000;12;0;0,0847;0,2557;0,16287;0,0195;0,00651;0,0033;0,11238;98,9243;0,094
670000;0;0;0,121;0,23343;0,13833;0,049;0,01441;0,0087;0,14697;99,2095;0,2
406000;30;1;0,0774;0,22376;0,11878;0,047;0,00552;0,0111;0,08564;94,8315;0,074
405000;4;0;0,1154;0,21394;0,11538;0,0361;0,00481;0,0144;0,1226;99,7603;0,116
414000;13;0;0,1253;0,20551;0,12531;0,0326;0,00501;0,015;0,10025;99,6311;-0,014
