Település;Lakosság
Orgovány;3456
Városföld;2324
Akasztó;3325
Bócsa;1921
Császártöltés;2280
Csengőd;2113
Fülöpszállás;2337
Imrehegy;668
Izsák;5955
Kaskantyú;978
Kecel;8575
Kiskőrös;14106
Páhi;1174
Soltszentimre;1330
Soltvadkert;7400
Tabdi;1081
Tázlár;1730
Bugac;2680
Bugacpusztaháza;269
Gátér;919
Kiskunfélegyháza;30039
Pálmonostora;1843
Petőfiszállás;1577
Balotaszállás;1538
Harkakötöny;839
Kelebia;2551
Kiskunhalas;28106
Kisszállás;2425
Kunfehértó;2240
Pirtó;953
Tompa;4676
Zsana;763
Csólyospálos;1622
Jászszentlászló;2516
Kiskunmajsa;11549
Kömpöc;700
Móricgát;476
Szank;2391
Apostag;2089
Dunaegyháza;1462
Dunavecse;4027
Kunadacs;1479
Kunpeszér;722
Kunszentmiklós;8417
Szabadszállás;6312
Szalkszentmárton;2849
Tass;2998
Lakitelek;4921
Szentkirály;1916
Tiszaalpár;5016
Tiszakécske;11536
Tiszaug;943
Békés;19284
Bélmegyer;935
Kamut;1045
Köröstarcsa;2472
Mezőberény;10254
Murony;1225
Tarhos;800
Békéscsaba;59057
Csabaszabadi;291
Csorvás;4830
Doboz;4249
Gerendás;1217
Kétsoprony;1361
Szabadkígyós;2627
Telekgerendás;1507
Újkígyós;5102
Csárdaszállás;423
Dévaványa;7477
Ecsegfalva;1200
Gyomaendrőd;13430
Hunya;622
Elek;4785
Gyula;30189
Kétegyháza;3648
Lőkösháza;1795
Almáskamarás;870
Battonya;5926
Dombegyház;2033
Dombiratos;552
Kaszaper;1823
Kevermes;1856
Kisdombegyház;487
Kunágota;2699
Magyarbánhegyes;2196
Magyardombegyház;229
Medgyesbodzás;985
Medgyesegyháza;3501
Mezőhegyes;5051
Mezőkovácsháza;5776
Nagybánhegyes;1240
Nagykamarás;1299
Pusztaottlaka;355
Végegyháza;1299
Békéssámson;2384
Csanádapáca;2542
Gádoros;3662
Kardoskút;815
Nagyszénás;4836
Orosháza;28344
Pusztaföldvár;1622
Tótkomlós;5827
Biharugra;913
Geszt;762
Körösnagyharsány;566
Kötegyán;1417
Méhkerék;2093
Mezőgyán;1042
Okány;2441
Sarkad;10112
Sarkadkeresztúr;1500
Újszalonta;102
Zsadány;1655
Békésszentandrás;3653
Csabacsűd;1736
Kardos;557
Kondoros;4867
Örménykút;333
Szarvas;15683
Bucsa;2286
Füzesgyarmat;5583
Kertészsziget;371
Körösladány;4526
Körösújfalu;502
Szeghalom;8899
Vésztő;6934
Csanytelek;2605
Csongrád;16511
Felgyő;1180
Tömörkény;1695
Hódmezővásárhely;44460
Mártély;1293
Mindszent;6740
Székkutas;2057
Baks;1988
Balástya;3464
Csengele;1919
Kistelek;7353
Ópusztaszer;2139
Pusztaszer;1421
Ambrózfalva;487
Apátfalva;3006
Csanádalberti;463
Csanádpalota;2780
Földeák;3062
Királyhegyes;617
Kiszombor;3869
Kövegy;397
Magyarcsanád;1478
Makó;23291
Maroslele;2038
Nagyér;535
Nagylak;459
Óföldeák;482
Pitvaros;1356
Ásotthalom;3987
Bordány;3289
Forráskút;2079
Mórahalom;6443
Öttömös;701
Pusztamérges;1101
Ruzsa;2509
Üllés;3111
Zákányszék;2896
Zsombó;3532
Algyő;5521
Deszk;3962
Dóc;729
Domaszék;5168
Ferencszállás;636
Klárafalva;511
Kübekháza;1569
Röszke;3649
Sándorfalva;8422
Szatymaz;5008
Szeged;161755
Tiszasziget;1824
Újszentiván;2082
Árpádhalom;482
Derekegyház;1569
Eperjes;467
Fábiánsebestyén;1941
Nagymágocs;2946
Nagytőke;399
Szegvár;4395
Szentes;27161
