Település;Lakosság
Egyházasfalu;873
Fertőboz;304
Fertőd;3310
Fertőendréd;628
Fertőhomok;864
Fertőrákos;2289
Fertőszentmiklós;3832
Fertőszéplak;1300
Gyalóka;75
Harka;2694
Hegykő;1591
Hidegség;452
Iván;1264
Kópháza;2111
Lövő;1417
Nagycenk;2272
Nagylózs;1043
Nemeskér;194
Pereszteg;1475
Petőháza;1079
Pinnye;359
Pusztacsalád;283
Répcevis;337
Röjtökmuzsaj;425
Sarród;947
Sopron;58053
Sopronhorpács;840
Sopronkövesd;1287
Szakony;451
Újkér;1009
Und;342
Völcsej;403
Zsira;864
Árpás;270
Csikvánd;500
Felpéc;977
Gyarmat;1368
Gyömöre;1249
Győrszemere;3359
Kisbabot;250
Mérges;111
Mórichida;830
Rábacsécsény;609
Rábaszentmihály;495
Rábaszentmiklós;143
Szerecseny;807
Tét;4109
Boba;825
Borgáta;204
Celldömölk;10429
Csönge;405
Duka;255
Egyházashetye;320
Jánosháza;2492
Karakó;215
Keléd;83
Kemeneskápolna;100
Kemenesmagasi;895
Kemenesmihályfa;512
Kemenespálfa;402
Kemenessömjén;563
Kemenesszentmárton;213
Kenyeri;835
Kissomlyó;239
Köcsk;255
Mersevát;590
Mesteri;272
Nagysimonyi;972
Nemeskeresztúr;297
Nemeskocs;319
Ostffyasszonyfa;784
Pápoc;299
Szergény;291
Tokorcs;359
Vönöck;727
Bajánsenye;489
Csákánydoroszló;1719
Daraboshegy;99
Döbörhegy;145
Döröske;106
Egyházashollós;547
Egyházasrádóc;1294
Felsőjánosfa;199
Felsőmarác;252
Halastó;87
Halogy;269
Harasztifalu;166
Hegyháthodász;156
Hegyhátsál;146
Hegyhátszentjakab;266
Hegyhátszentmárton;70
Ispánk;110
Ivánc;656
Katafa;344
Kemestaródfa;235
Kercaszomor;229
Kerkáskápolna;70
Kisrákos;180
Körmend;10951
Magyarnádalja;255
Magyarszecsőd;434
Magyarszombatfa;269
Molnaszecsőd;411
Nádasd;1335
Nagykölked;158
Nagymizdó;116
Nagyrákos;269
Nemesrempehollós;265
Őrimagyarósd;230
Őriszentpéter;1157
Pankasz;445
Pinkamindszent;179
Rádóckölked;288
Szaknyér;53
Szalafő;202
Szarvaskend;223
Szatta;69
Szőce;336
Vasalja;339
Velemér;75
Viszák;264
Bozsok;367
Bük;3537
Cák;278
Csepreg;3246
Gyöngyösfalu;1101
Horvátzsidány;820
Iklanberény;54
Kiszsidány;97
Kőszeg;11500
Kőszegdoroszló;249
Kőszegpaty;195
Kőszegszerdahely;521
Lócs;132
Lukácsháza;1095
Nemescsó;300
Ólmod;118
Peresznye;635
Pusztacsó;162
Tormásliget;292
Tömörd;282
Velem;394
Bejcgyertyános;420
Bő;731
Bögöt;400
Bögöte;322
Chernelházadamonya;230
Csánig;339
Csénye;709
Gérce;1164
Gór;314
Hegyfalu;759
Hosszúpereszteg;644
Ikervár;1736
Jákfa;497
Káld;1030
Kenéz;278
Megyehíd;313
Meggyeskovácsi;685
Mesterháza;160
Nagygeresd;273
Nemesládony;139
Nick;536
Nyőgér;343
Ölbő;738
Pecöl;777
Porpác;142
Pósfa;265
Rábapaty;1680
Répcelak;2607
Répceszentgyörgy;118
Sajtoskál;379
Sárvár;14508
Simaság;539
Sitke;741
Sótony;638
Szeleste;663
Tompaládony;321
Uraiújfalu;825
Vámoscsalád;303
Vásárosmiske;352
Vasegerszeg;354
Vashosszúfalu;358
Zsédeny;215
Alsószölnök;351
Apátistvánfalva;400
Csörötnek;873
Felsőszölnök;578
Gasztony;441
Kétvölgy;109
Kondorfa;507
Magyarlak;802
Nemesmedves;27
Orfalu;80
Rábagyarmat;740
Rátót;235
Rönök;409
Szakonyfalu;378
Szentgotthárd;8474
Vasszentmihály;339
Acsád;652
Balogunyom;1163
Bozzai;294
Bucsu;584
Csempeszkopács;318
Dozmat;272
Felsőcsatár;479
Gencsapáti;2680
Gyanógeregye;156
Horvátlövő;201
Ják;2571
Kisunyom;452
Meszlen;214
Nárai;1514
Narda;496
Nemesbőd;650
Nemeskolta;379
Perenye;676
Pornóapáti;354
Rábatöttös;231
Rum;1137
Salköveskút;485
Sé;1414
Sorkifalud;665
Sorkikápolna;244
Sorokpolány;810
Söpte;817
Szentpéterfa;1023
Szombathely;76085
Tanakajd;734
Táplánszentkereszt;2597
Torony;2026
Vasasszonyfa;378
Vaskeresztes;340
Vassurány;789
Vasszécseny;1349
Vasszilvágy;416
Vát;670
Vép;3337
Zsennye;102
Alsóújlak;579
Andrásfa;233
Bérbaltavár;519
Csehi;244
